chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
10	176026	300577	ZMYND11	201	2	0.009950
10	320139	735608	DIP2C	201	1	0.004975
10	1223251	1779719	ADARB2	192	1	0.005208
10	4868367	4890254	AKR1E2	201	18	0.089552
10	5726799	5805703	TASOR2	201	2	0.009950
10	5903577	5931860	ANKRD16	201	14	0.069652
10	5931533	5979558	FBH1	201	14	0.069652
10	6052650	6104330	IL2RA	201	21	0.104478
10	6130995	6159422	RBM17	201	13	0.064677
10	11495943	11653788	USP6NL	197	48	0.243655
10	11962019	12085169	UPF2	201	34	0.169154
10	12110951	12165220	DHTKD1	201	36	0.179104
10	12238185	12292588	CDC123	201	1	0.004975
10	13685704	14372923	FRMD4A	201	0	0.000000
10	16865963	17171810	CUBN	201	18	0.089552
10	17686148	17758823	STAM	201	23	0.114428
10	23983654	24836777	KIAA1217	201	35	0.174129
10	27035523	27150016	ABI1	200	2	0.010000
10	27399038	27443349	YME1L1	201	2	0.009950
10	27471765	27531040	ACBD5	178	0	0.000000
10	27793101	27831168	RAB18	201	2	0.009950
10	28339920	28591993	MPP7	201	2	0.009950
10	33189244	33247158	ITGB1	201	3	0.014925
10	38047464	38147031	ZNF248	201	30	0.149254
10	43689979	43762513	RASGEF1A	201	2	0.009950
10	44124263	44170147	ZNF32-AS3	201	7	0.034826
10	44139305	44144329	ZNF32	201	7	0.034826
10	44139318	44140495	ZNF32-AS1	201	7	0.034826
10	60936401	61007534	PHYHIPL	194	1	0.005155
10	61548503	61666314	CCDC6	201	7	0.034826
10	61786054	62493286	ANK3	201	51	0.253731
10	63166398	63213139	TMEM26	195	0	0.000000
10	70091448	70102953	HNRNPH3	199	31	0.155779
10	70173819	70231878	DNA2	201	35	0.174129
10	70480994	70552134	CCAR1	201	44	0.218905
10	70661069	70706603	DDX50	189	44	0.232804
10	70715924	70744825	DDX21	201	60	0.298507
10	71561660	71718900	COL13A1	201	36	0.179104
10	72058724	72142406	LRRC20	201	23	0.114428
10	73079008	73123147	SLC29A3	201	0	0.000000
10	73156675	73575704	CDH23	201	0	0.000000
10	75669725	75682535	C10orf55	201	8	0.039801
10	75670857	75677259	PLAU	201	8	0.039801
10	78629357	79397566	KCNMA1	201	9	0.044776
10	86088343	86278277	CCSER2	200	34	0.170000
10	87359307	88126552	GRID1	201	31	0.154229
10	88414302	88426217	OPN4	201	14	0.069652
10	89623380	89731687	PTEN	201	3	0.014925
10	90521161	90537999	LIPN	201	0	0.000000
10	90579651	90611601	ANKRD22	201	3	0.014925
10	90694829	90751154	ACTA2	201	3	0.014925
10	91190054	91295351	SLC16A12	201	36	0.179104
10	91215746	91227908	SLC16A12-AS1	201	36	0.179104
10	91461345	91534700	KIF20B	201	1	0.004975
10	92631707	92668313	RPP30	201	2	0.009950
10	94211439	94333852	IDE	201	9	0.044776
10	94352885	94415152	KIF11	171	6	0.035088
10	95066184	95242091	MYOF	201	33	0.164179
10	95256367	95288849	CEP55	201	51	0.253731
10	96162296	96296089	TBC1D12	201	1	0.004975
10	96305522	96361856	HELLS	201	1	0.004975
10	97071528	97321128	SORBS1	201	1	0.004975
10	97512961	97849992	ENTPD1-AS1	179	13	0.072626
10	97667720	97792441	CC2D2B	179	13	0.072626
10	97889470	97965047	ZNF518A	191	21	0.109948
10	97951453	98031333	BLNK	191	21	0.109948
10	98277865	98346769	TM9SF3	200	7	0.035000
10	98353070	98480271	PIK3AP1	201	12	0.059701
10	111967361	112047123	MXI1	201	0	0.000000
10	112050486	112064678	SMNDC1	201	0	0.000000
10	114133872	114188138	ACSL5	201	2	0.009950
10	121485557	121588663	INPP5F	201	21	0.104478
10	121588914	121633140	MCMBP	201	21	0.104478
10	121652240	121704169	SEC23IP	201	20	0.099502
10	124030809	124097685	BTBD16	201	13	0.064677
10	124221067	124274423	HTRA1	201	12	0.059701
10	126490386	126525236	ABRAXAS2	201	29	0.144279
10	128593976	129250781	DOCK1	201	30	0.149254
10	129705365	129884119	PTPRE	188	1	0.005319
10	129855994	129860689	AS-PTPRE	188	1	0.005319
10	129894921	129924687	MKI67	201	41	0.203980
10	134351289	134596984	INPP5A	201	6	0.029851
chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
11	790473	798281	SLC25A22	199	0	0.000000
11	1244294	1283402	MUC5B	200	7	0.035000
11	3696238	3818784	NUP98	201	22	0.109453
11	4790207	4791168	OR51F1	201	37	0.184080
11	6518508	6593255	DNHD1	201	4	0.019900
11	6616300	6624846	RRP8	201	4	0.019900
11	8060178	8127654	TUB	201	0	0.000000
11	8633582	8680383	TRIM66	201	27	0.134328
11	8714897	8932498	DENND2B	201	0	0.000000
11	8932734	8941626	AKIP1	201	9	0.044776
11	8941621	8954494	C11orf16	201	9	0.044776
11	9002121	9025548	NRIP3	201	8	0.039801
11	9041021	9113146	SCUBE2	201	7	0.034826
11	9406197	9469674	IPO7	201	27	0.134328
11	9779838	9832866	SBF2-AS1	201	2	0.009950
11	9800212	10315754	SBF2	201	2	0.009950
11	10562781	10621479	MRVI1-AS1	201	6	0.029851
11	10594636	10715535	MRVI1	201	6	0.029851
11	11863517	11983434	USP47	201	63	0.313433
11	11984524	12030917	DKK3	200	0	0.000000
11	13690213	13753893	FAR1	201	23	0.114428
11	20409074	20530884	PRMT3	201	1	0.004975
11	20621152	20680831	SLC6A5	199	5	0.025126
11	20691095	21597232	NELL1	201	5	0.024876
11	24518597	25104184	LUZP2	201	3	0.014925
11	26210668	26684836	ANO3	201	15	0.074627
11	30031275	30038577	KCNA4	200	8	0.040000
11	32409319	32457085	WT1	201	26	0.129353
