chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
10	176026	300577	ZMYND11	503	3	0.005964
10	320139	735608	DIP2C	503	3	0.005964
10	1223251	1779719	ADARB2	503	3	0.005964
10	4868367	4890254	AKR1E2	503	48	0.095427
10	5726799	5805703	TASOR2	503	3	0.005964
10	5903577	5931860	ANKRD16	503	37	0.073559
10	5931533	5979558	FBH1	503	35	0.069583
10	6052650	6104330	IL2RA	503	32	0.063618
10	6130995	6159422	RBM17	503	29	0.057654
10	11495943	11653788	USP6NL	503	130	0.258449
10	11962019	12085169	UPF2	503	96	0.190855
10	12110951	12165220	DHTKD1	503	94	0.186879
10	12238185	12292588	CDC123	503	1	0.001988
10	13685704	14372923	FRMD4A	503	1	0.001988
10	16865963	17171810	CUBN	503	38	0.075547
10	17686148	17758823	STAM	503	86	0.170974
10	23983654	24836777	KIAA1217	503	100	0.198807
10	27035523	27150016	ABI1	503	10	0.019881
10	27399038	27443349	YME1L1	503	11	0.021869
10	27471765	27531040	ACBD5	503	11	0.021869
10	27793101	27831168	RAB18	503	10	0.019881
10	28339920	28591993	MPP7	503	11	0.021869
10	33189244	33247158	ITGB1	503	7	0.013917
10	38047464	38147031	ZNF248	503	100	0.198807
10	43689979	43762513	RASGEF1A	503	1	0.001988
10	44124263	44170147	ZNF32-AS3	503	17	0.033797
10	44139305	44144329	ZNF32	503	17	0.033797
10	44139318	44140495	ZNF32-AS1	503	17	0.033797
10	60936401	61007534	PHYHIPL	503	1	0.001988
10	61548503	61666314	CCDC6	503	27	0.053678
10	61786054	62493286	ANK3	503	124	0.246521
10	63166398	63213139	TMEM26	503	5	0.009940
10	70091448	70102953	HNRNPH3	503	101	0.200795
10	70173819	70231878	DNA2	503	100	0.198807
10	70480994	70552134	CCAR1	503	117	0.232604
10	70661069	70706603	DDX50	503	148	0.294235
10	70715924	70744825	DDX21	503	148	0.294235
10	71561660	71718900	COL13A1	503	85	0.168986
10	72058724	72142406	LRRC20	503	48	0.095427
10	73079008	73123147	SLC29A3	503	8	0.015905
10	73156675	73575704	CDH23	503	0	0.000000
10	75669725	75682535	C10orf55	503	11	0.021869
10	75670857	75677259	PLAU	503	11	0.021869
10	78629357	79397566	KCNMA1	503	28	0.055666
10	86088343	86278277	CCSER2	503	67	0.133201
10	87359307	88126552	GRID1	503	60	0.119284
10	88414302	88426217	OPN4	503	30	0.059642
10	89623380	89731687	PTEN	503	1	0.001988
10	90521161	90537999	LIPN	503	1	0.001988
