chr	posStart	posEnd	geneName	totSamples	NeanSamples	PropNean
10	3109738	3178997	PFKP	158	3	0.018987
10	3179917	3215033	PITRM1	157	4	0.025478
10	3183791	3190821	PITRM1-AS1	157	4	0.025478
10	4868367	4890254	AKR1E2	160	32	0.200000
10	5435062	5446791	TUBAL3	160	22	0.137500
10	5454518	5501019	NET1	160	23	0.143750
10	5903577	5931860	ANKRD16	160	41	0.256250
10	5931533	5979558	FBH1	160	46	0.287500
10	11495943	11653788	USP6NL	160	52	0.325000
10	11962019	12085169	UPF2	160	0	0.000000
10	12110951	12165220	DHTKD1	160	10	0.062500
10	12238185	12292588	CDC123	160	27	0.168750
10	13628963	13672859	PRPF18	160	1	0.006250
10	13685704	14372923	FRMD4A	160	1	0.006250
10	17686148	17758823	STAM	160	11	0.068750
10	21068900	21463116	NEBL	160	51	0.318750
10	23490843	23633726	C10orf67	160	12	0.075000
10	23983654	24836777	KIAA1217	160	51	0.318750
10	24872541	25012816	ARHGAP21	160	10	0.062500
10	25137541	25241535	PRTFDC1	160	27	0.168750
10	27035523	27150016	ABI1	160	36	0.225000
10	27399038	27443349	YME1L1	160	40	0.250000
10	27471765	27531040	ACBD5	156	32	0.205128
10	27793101	27831168	RAB18	160	81	0.506250
10	28101095	28288008	ARMC4	160	67	0.418750
10	43689979	43762513	RASGEF1A	160	29	0.181250
10	43867082	43871783	FXYD4	160	8	0.050000
10	43932294	43978629	ZNF487	160	10	0.062500
10	44124263	44170147	ZNF32-AS3	160	40	0.250000
10	44139305	44144329	ZNF32	160	40	0.250000
10	44139318	44140495	ZNF32-AS1	160	40	0.250000
10	44340752	44346070	LINC00619	159	49	0.308176
10	45950031	46090354	MARCHF8	155	0	0.000000
10	61548503	61666314	CCDC6	160	0	0.000000
10	61786054	62493286	ANK3	160	1	0.006250
10	63166398	63213139	TMEM26	159	15	0.094340
10	64133914	64431771	ZNF365	158	19	0.120253
10	67672274	69455953	CTNNA3	160	22	0.137500
10	68685792	68861309	LRRTM3	160	22	0.137500
10	70173819	70231878	DNA2	160	34	0.212500
10	70480994	70552134	CCAR1	160	27	0.168750
10	70661069	70706603	DDX50	155	28	0.180645
10	70715924	70744825	DDX21	160	29	0.181250
10	73156675	73575704	CDH23	160	0	0.000000
10	79734905	79789273	POLR3A	160	3	0.018750
10	86088343	86278277	CCSER2	160	24	0.150000
10	88426543	88495829	LDB3	160	0	0.000000
